Rank,Company,Industry,CEO,Zodiac,Element,Networth
1,Walmart,Retail,Doug McMillon,Libra,Air,100000000
2,Amazon,Retail,Andy Jassy,Capricorn,Earth,450000000
3,Apple,Technology,Tim Cook,Scorpio,Water,1300000000
4,CVS Health,Health,Karen Lynch,Capricorn,Earth,70000000
5,UnitedHealth Group,Insurance,Andrew Witty,Leo,Fire,39000000
6,Exxon Mobil,Energy,Darren Woods,Gemini,Air,80000000
7,Berkshire Hathaway,Financial,Warren Buffett,Virgo,Earth,93037000000
8,Alphabet,Technology,Sundar Pichai,Cancer,Water,600000000
9,McKesson,Medical,Brian S. Tyler,Taurus,Earth,30000000
10,AmerisourceBergen,Medical,Steven H. Collis,Pisces,Water,39590000
11,Costco Wholesale,Retail,W. Craig Jelinek,Leo,Fire,100000000
12,Cigna,Insurance,David Cordani,Aquarius,Air,46030000
13,AT&T,Telecomunications,John Stankey,Aries,Fire,75000000
14,Microsoft,Technology,Satya Nadella,Leo,Fire,814000000
15,Cardinal Health,Health,Jason Hollar,Leo,Fire,9250000
16,Chevron,Energy,Michael K. Wirth,Aquarius,Air,21590000
17,Home Depot,Retail,Ted Dekker,Scorpio,Water,26900000
18,Walgreens Boots Alliance,Health,Rosalind Brewer,Pisces,Water,11600000
19,Marathon Petroleum,Energy,Michael Hennigan,Scorpio,Water,25000000
20,Elevance Health,Insurance,Gail K. Boudrexu,Scorpio,Water,11840000
21,Kroger,Retail,Rodney mcMullen,Leo,Fire,30000000
22,Ford Motor,Manufacturing,James D. Farley,Gemini,Air,6400000
23,Verizon Communications,Telecomunications,Hans Vestberg,Cancer,Water,8000000
24,JPMorgan Chase,Financial,Jamie Dimon,Pisces,Water,1515000000
25,General Motors,Manufacturing,Mary Barra,Capricorn,Earth,60000000
26,Centene,Health,Michael Neidorff,Scorpio,Water,662000000
27,Meta Platforms,Technology,Mark Zuckerberg,Taurus,Earth,59010000000
28,Comcast,Telecomunications,Brian L. Roberts,Cancer,Water,1428000000
29,Phillips 66,Energy,Mark Lashier,Cancer,Water,1045000000
30,Valero Energy,Energy,Joseph W. Gorder,Taurus,Earth,102000000
31,Dell Technologies,Technology,Michael Dell,Pisces,Water,54031000
32,Target,Retail,Brian Cornell,Sagitarius,Fire,80000000
33,Fannie Mae,Financial,David C. Benson,Capricorn,Earth,7000000
34,UPS,Shipping/Supply chain,Carol Tome,Capricorn,Earth,130000000
35,Lowe's,Retail,Marvin Ellison,Leo,Fire,30000000
36,Bank of America,Financial,Brian Moyniahn,Libra,Air,65000000
37,Johnson & Johnson,Medical,Joaquin Duato,Aries,Fire,55900000
38,Archer Daniels Midland,Commodities,Juan R. Luciano,Aquarius,Air,82900000
39,FedEx,Shipping/Supply chain,Raj Subramaniam,Virgo,Earth,14200000
40,Humana,Insurance,Bruce D. Broussard,Libra,Air,53880000
41,Wells Fargo,Financial,Charles Scharf,Taurus,Earth,50700000
42,State Farm Insurance,Insurance,Michael Tipsord,Gemini,Air,26000000
43,Pfizer,Medical,Albert Bourla,Aquarius,Air,35000000
44,Citigroup,Financial,Jane Fraser,Cancer,Water,70000000
45,PepsiCo,Consumer Goods,Ramon Laguarta,Aries,Fire,15000000
46,Intel,Technology,Pat Gelsinger,Pisces,Water,87830000
47,Procter & Gamble,Consumer Goods,Jon R. Moeller,Gemini,Air,4730000
48,General Electric,Energy,H. Lawrence Culp Jr.,Pisces,Water,152000000
49,IBM,Technology,Arvind Krishna,Capricorn,Earth,28400000
50,MetLife,Insurance,Michel Khalaf,Taurus,Earth,27100000
